"","replica","time","gap"
"1",1,27.442,0.0453183109787017
"2",2,26.675,0.0458634998009307
"3",3,27.052,0.052125718250224
"4",4,26.311,0.0426624895542529
"5",5,26.782,0.0233285096791894
"6",6,26.564,0.0531160707311998
"7",7,26.326,0.0388444517105302
"8",8,26.572,0.0421693059021821
"9",9,27.282,0.0335947257634166
"10",10,26.99,0.0396707890517328
"11",11,26.819,0.027335815679078
"12",12,26.784,0.0339261207375586
"13",13,26.915,0.0466054854406829
"14",14,27.137,0.0360768779734661
"15",15,26.354,0.0444644566656638
"16",16,26.805,0.0403034747740937
"17",17,26.538,0.0468792531174354
"18",18,26.455,0.0320946562294176
"19",19,26.338,0.0336046026726024
"20",20,26.697,0.0298076621990577
"21",21,26.331,0.0442261244687398
"22",22,26.629,0.0422704793640921
"23",23,26.53,0.0419848805618904
"24",24,26.138,0.0593280820189308
"25",25,26.847,0.0378560340311472
"26",26,26.258,0.0299769330173228
"27",27,26.547,0.0407957876957197
"28",28,26.75,0.0454034207213448
"29",29,26.519,0.0392124095931689
"30",30,26.663,0.0329056700187787
