"","replica_","time","gap","NA"
"1",1,32.317,0.0383466416219942,18
"2",2,31.977,0.0397834540058288,21
"3",3,32.319,0.0427995782816738,26
"4",4,32.857,0.0425933148061103,43
"5",5,32.288,0.0514658192612764,23
"6",6,32.182,0.0336155034702772,22
"7",7,32.203,0.0378179632222125,24
"8",8,32.365,0.0373968894050309,12
"9",9,32.187,0.0515975276482636,16
"10",10,32.28,0.0490189917469265,15
"11",11,32.299,0.0390120067835363,17
"12",12,32.063,0.0348716396326605,28
"13",13,32.376,0.0506513425615846,21
"14",14,32.202,0.0368955220079094,18
"15",15,32.128,0.0218426368822334,15
"16",16,32.435,0.0391072280341027,11
"17",17,32.1089999999999,0.0448490380611643,26
"18",18,32.245,0.0432898361928337,14
"19",19,32.384,0.0327002908230563,14
"20",20,31.886,0.0476825546246291,13
"21",21,31.8870000000001,0.0492451215983501,27
"22",22,32.4209999999999,0.0456858479555634,14
"23",23,32.127,0.0308813105171881,16
"24",24,32.2430000000001,0.0316064941790711,15
"25",25,31.967,0.0358171716784931,25
"26",26,32.009,0.0484085945974523,22
"27",27,31.734,0.0474965612249945,12
"28",28,31.609,0.029057289632658,22
"29",29,31.6560000000001,0.0405300422284057,18
"30",30,32.294,0.0247626463429819,30
