"","replica","time","gap"
"1",1,26.412,0.0358036209602168
"2",2,26.4,0.02277155531849
"3",3,26.125,0.0260758014899186
"4",4,26.041,0.0250836365337388
"5",5,25.794,0.0484560260078883
"6",6,25.759,0.0456510161220066
"7",7,26.195,0.0498338530670704
"8",8,26.05,0.049454714975106
"9",9,26.018,0.0375128287758931
"10",10,26.057,0.0444938084615434
"11",11,26.229,0.0473701523961938
"12",12,26.363,0.0506800211808999
"13",13,25.784,0.0383161451042265
"14",14,26.083,0.0346299409147416
"15",15,26.375,0.0302524813120694
"16",16,26.257,0.0437895369973708
"17",17,26.283,0.0300931224274642
"18",18,26.4,0.04503348738561
"19",19,26.488,0.0502570763194107
"20",20,25.8509999999999,0.0453713134516122
"21",21,26.184,0.0527243562787181
"22",22,26.093,0.04571132002155
"23",23,26.09,0.0380724547905337
"24",24,26.336,0.0447416389954122
"25",25,25.8829999999999,0.049908798480141
"26",26,26.3489999999999,0.0425665285565109
"27",27,26.3869999999999,0.0473792217021204
"28",28,25.787,0.0512164900585096
"29",29,26.2619999999999,0.0267100570308349
"30",30,25.8979999999999,0.0342123672057033
