"","replica","time","gap","est"
"1",1,28.049,0.0273152240119496,43
"2",2,28.033,0.0418513192510969,23
"3",3,28.155,0.0283024477720955,13
"4",4,27.89,0.0316970652492128,18
"5",5,27.689,0.0266419167755722,31
"6",6,27.69,0.0625704759315446,24
"7",7,27.064,0.0277854906368565,17
"8",8,27.388,0.021722391359779,30
"9",9,27.382,0.0439560947537733,29
"10",10,27.244,0.0319672531906619,22
"11",11,27.563,0.0378299530894623,14
"12",12,27.474,0.0332413873497359,16
"13",13,27.39,0.0467487713906421,38
"14",14,27.442,0.0387669414714377,18
"15",15,27.513,0.0462299323069324,15
"16",16,27.507,0.0462636211765038,26
"17",17,27.303,0.0312835470638821,24
"18",18,27.302,0.0388709198817936,16
"19",19,27.7389999999999,0.0384982314977934,19
"20",20,27.4939999999999,0.0473156114458747,17
"21",21,27.356,0.0242439389390775,13
"22",22,26.97,0.0576229413425058,17
"23",23,27.0400000000001,0.0473350618837871,17
"24",24,26.9299999999999,0.0481754031461931,14
"25",25,27.008,0.0468604885439816,22
"26",26,26.769,0.0496401054451232,32
"27",27,26.696,0.032699360320595,22
"28",28,27.0830000000001,0.053357941794949,8
"29",29,26.222,0.0541191223038685,21
"30",30,26.8979999999999,0.0419355090665185,25
