"","replica","NE","NS","T","P"
"1",2,50,1,0.084,6
"2",2,50,2,0.029,6
"3",2,50,3,0.03,8
"4",2,50,4,0.0319999999999999,4
"5",2,50,5,0.0290000000000001,26
"6",2,50,6,0.0299999999999998,6
"7",2,50,7,0.0310000000000001,6
"8",2,50,8,0.03,12
"9",2,50,9,0.0289999999999999,24
"10",2,50,10,0.0289999999999999,14
"11",2,50,11,0.0310000000000001,6
"12",2,50,12,0.03,18
"13",2,50,13,0.028,16
"14",2,50,14,0.032,24
"15",2,50,15,0.032,6
"16",2,50,16,0.0289999999999999,14
"17",2,50,17,0.0309999999999999,6
"18",2,50,18,0.03,8
"19",2,50,19,0.0290000000000001,2
"20",2,50,20,0.0309999999999999,12
"21",2,50,21,0.03,26
"22",2,50,22,0.03,8
"23",2,50,23,0.03,22
"24",2,50,24,0.0329999999999999,4
"25",2,50,25,0.0290000000000001,18
"26",2,50,26,0.03,6
"27",2,50,27,0.0319999999999998,20
"28",2,50,28,0.0290000000000001,10
"29",2,50,29,0.03,2
"30",2,50,30,0.0310000000000001,4
"31",2,100,1,0.0719999999999998,2
"32",2,100,2,0.0740000000000001,14
"33",2,100,3,0.071,11
"34",2,100,4,0.0700000000000001,12
"35",2,100,5,0.0710000000000002,18
"36",2,100,6,0.0709999999999997,2
"37",2,100,7,0.103,1
"38",2,100,8,0.0669999999999997,1
"39",2,100,9,0.0670000000000002,3
"40",2,100,10,0.069,5
"41",2,100,11,0.0699999999999998,1
"42",2,100,12,0.0659999999999998,2
"43",2,100,13,0.0680000000000001,8
"44",2,100,14,0.069,8
"45",2,100,15,0.0659999999999998,2
"46",2,100,16,0.0710000000000002,15
"47",2,100,17,0.0710000000000002,3
"48",2,100,18,0.0669999999999997,10
"49",2,100,19,0.069,8
"50",2,100,20,0.0690000000000004,10
"51",2,100,21,0.0679999999999996,20
"52",2,100,22,0.0700000000000003,1
"53",2,100,23,0.069,3
"54",2,100,24,0.069,4
"55",2,100,25,0.069,2
"56",2,100,26,0.0700000000000003,11
"57",2,100,27,0.069,11
"58",2,100,28,0.0710000000000002,5
"59",2,100,29,0.0710000000000002,1
"60",2,100,30,0.0709999999999997,9
"61",2,200,1,0.19,2
"62",2,200,2,0.19,1.5
"63",2,200,3,0.19,0.5
"64",2,200,4,0.191000000000001,1.5
"65",2,200,5,0.19,2.5
"66",2,200,6,0.189,7.5
"67",2,200,7,0.186999999999999,7
"68",2,200,8,0.191000000000001,9.5
"69",2,200,9,0.191999999999999,6.5
"70",2,200,10,0.193,6.5
"71",2,200,11,0.184,14.5
"72",2,200,12,0.216,9
"73",2,200,13,0.178,1
"74",2,200,14,0.189,19.5
"75",2,200,15,0.19,14.5
"76",2,200,16,0.186999999999999,10
"77",2,200,17,0.19,1
"78",2,200,18,0.192,2.5
"79",2,200,19,0.191,1.5
"80",2,200,20,0.191000000000001,0.5
"81",2,200,21,0.183999999999999,13.5
"82",2,200,22,0.189,8.5
"83",2,200,23,0.185,3
"84",2,200,24,0.188000000000001,2
"85",2,200,25,0.185,0.5
"86",2,200,26,0.183999999999999,5.5
"87",2,200,27,0.186999999999999,0.5
"88",2,200,28,0.186,13.5
"89",2,200,29,0.184000000000001,1.5
"90",2,200,30,0.179,8.5
"91",2,400,1,0.596,0.5
"92",2,400,2,0.558999999999999,2.5
"93",2,400,3,0.564,3
"94",2,400,4,0.568999999999999,0.75
"95",2,400,5,0.603,0.5
"96",2,400,6,0.57,1
"97",2,400,7,0.563000000000001,2
"98",2,400,8,0.557,9
"99",2,400,9,0.603999999999999,0.25
"100",2,400,10,0.556000000000001,4.25
"101",2,400,11,0.571999999999999,0.75
"102",2,400,12,0.568,1.5
"103",2,400,13,0.574999999999999,0.25
"104",2,400,14,0.586000000000002,2
"105",2,400,15,0.555,5.25
"106",2,400,16,0.565000000000001,1.75
"107",2,400,17,0.57,2.25
"108",2,400,18,0.588999999999999,0.75
"109",2,400,19,0.569999999999997,0.75
"110",2,400,20,0.558000000000003,8.25
"111",2,400,21,0.574999999999999,0.5
"112",2,400,22,0.600000000000001,1.5
"113",2,400,23,0.603000000000002,6.25
"114",2,400,24,0.556999999999999,7.75
"115",2,400,25,0.576999999999998,0.5
"116",2,400,26,0.612000000000002,0.25
"117",2,400,27,0.57,1
"118",2,400,28,0.559000000000001,2.75
"119",2,400,29,0.575999999999997,1
"120",2,400,30,0.559999999999999,5.5
"121",2,800,1,2.186,4
