"","replica","NE","NS","T","P"
"1",1,2,200,0.963,0
"2",2,2,200,0.636,0
"3",3,2,200,0.661,0
"4",4,2,200,0.684,0
"5",5,2,200,0.691,0
"6",6,2,200,0.724,0
"7",7,2,200,0.66,0
"8",8,2,200,0.664,0
"9",9,2,200,0.673,0
"10",10,2,200,0.651999999999999,0
"11",11,2,200,0.665999999999999,0
"12",12,2,200,0.635,0
"13",13,2,200,0.635000000000002,0
"14",14,2,200,0.670999999999999,0
"15",15,2,200,0.693999999999999,0
"16",16,2,200,0.663,0
"17",17,2,200,0.735999999999999,0
"18",18,2,200,0.722000000000001,0
"19",19,2,200,0.649999999999999,0
"20",20,2,200,0.677,0
"21",21,2,200,0.741000000000001,0
"22",22,2,200,0.720000000000002,0
"23",23,2,200,0.736999999999998,0
"24",24,2,200,0.750999999999998,0
"25",25,2,200,0.722000000000001,0
"26",26,2,200,0.736000000000001,0
"27",27,2,200,0.691000000000003,0
"28",28,2,200,0.614000000000001,0
"29",29,2,200,0.673000000000002,0
"30",30,2,200,0.657999999999998,0
