,X1,X9,X5000,X5.578,X84.8333333333333
1,1,9,5000,5.578,84.83333333
2,2,9,5000,5.457,71.16666667
3,3,9,5000,5.423,79.83333333
4,4,9,5000,5.545,83
5,5,9,5000,5.617,86.16666667
6,6,9,5000,5.561,90
7,7,9,5000,5.393,86.5
8,8,9,5000,5.493,91.83333333
9,9,9,5000,5.609,89.83333333
10,10,9,5000,5.351,78.33333333
11,11,9,5000,5.508,84.66666667
12,12,9,5000,5.518,92.33333333
13,13,9,5000,5.456,80.83333333
14,14,9,5000,5.458,78.33333333
15,15,9,5000,5.51,87.83333333
16,16,9,5000,5.556,83.83333333
17,17,9,5000,5.402,74.5
18,18,9,5000,5.565,79.66666667
19,19,9,5000,5.626,80
20,20,9,5000,5.434,91
21,21,9,5000,5.519,79.66666667
22,22,9,5000,5.591,84.33333333
23,23,9,5000,5.553,89.5
24,24,9,5000,5.43,85.5
25,25,9,5000,5.511,76.5
26,26,9,5000,5.605,87
27,27,9,5000,5.462,82.66666667
28,28,9,5000,5.472,89.33333333
29,29,9,5000,5.633,89
30,30,9,5000,5.577,89.16666667
31,1,12,5000,5.383,63.83333333
32,2,12,5000,5.503,81
33,3,12,5000,5.547,51.33333333
34,4,12,5000,5.403,88.33333333
35,5,12,5000,5.435,67.66666667
36,6,12,5000,5.545,72.83333333
37,7,12,5000,5.463,76.16666667
38,8,12,5000,5.391,79.5
39,9,12,5000,5.486,81.5
40,10,12,5000,5.616,83.5
41,11,12,5000,5.402,75.66666667
42,12,12,5000,5.416,74.66666667
43,13,12,5000,5.535,74.83333333
44,14,12,5000,5.498,74.33333333
45,15,12,5000,5.484,73.5
46,16,12,5000,5.494,67.16666667
47,17,12,5000,5.619,55.33333333
48,18,12,5000,5.438,73.16666667
49,19,12,5000,5.414,82.5
50,20,12,5000,5.511,74.33333333
51,21,12,5000,5.483,58.66666667
52,22,12,5000,5.401,81
53,23,12,5000,5.452,63
54,24,12,5000,5.608,79.66666667
55,25,12,5000,5.383,79.83333333
56,26,12,5000,5.482,69.66666667
57,27,12,5000,5.562,88.33333333
58,28,12,5000,5.455,86.16666667
59,29,12,5000,5.382,82.66666667
60,30,12,5000,5.51,77.83333333
61,1,15,5000,5.623,50.66666667
62,2,15,5000,5.455,51.66666667
63,3,15,5000,5.573,66.66666667
64,4,15,5000,5.601,63.66666667
65,5,15,5000,5.464,70
66,6,15,5000,5.499,58.5
67,7,15,5000,5.545,69.83333333
68,8,15,5000,5.593,64.16666667
69,9,15,5000,5.421,68.5
70,10,15,5000,5.625,63
71,11,15,5000,5.585,54.16666667
72,12,15,5000,5.39,63.33333333
73,13,15,5000,5.571,64.83333333
74,14,15,5000,5.547,80.5
75,15,15,5000,5.842,54.5
76,16,15,5000,6.124,56.16666667
77,17,15,5000,5.541,62
78,18,15,5000,5.695,63.5
79,19,15,5000,5.467,73.83333333
80,20,15,5000,5.478,74.16666667
81,21,15,5000,5.597,49.83333333
82,22,15,5000,5.584,56.33333333
83,23,15,5000,5.41,63.16666667
84,24,15,5000,5.54,60.66666667
85,25,15,5000,5.62,55.33333333
86,26,15,5000,5.45,66.66666667
87,27,15,5000,5.494,58
88,28,15,5000,5.656,74.66666667
89,29,15,5000,5.921,62.16666667
90,30,15,5000,5.436,56.5
91,1,18,5000,5.535,34.5
92,2,18,5000,6.142,29.16666667
93,3,18,5000,5.907,38.33333333
94,4,18,5000,6.22,30.66666667
95,5,18,5000,5.676,26
96,6,18,5000,5.607,35
97,7,18,5000,5.454,7.333333333
98,8,18,5000,5.589,30.66666667
99,9,18,5000,5.629,31.66666667
100,10,18,5000,5.511,30.5
101,11,18,5000,5.535,35.33333333
102,12,18,5000,5.641,26.5
103,13,18,5000,5.697,34
104,14,18,5000,5.521,33.5
105,15,18,5000,5.613,21.83333333
106,16,18,5000,5.669,26.66666667
107,17,18,5000,5.561,23
108,18,18,5000,5.556,30.5
109,19,18,5000,6.109,32.83333333
110,20,18,5000,6.044,29.83333333
111,21,18,5000,6.302,39.5
112,22,18,5000,6.499,29.16666667
113,23,18,5000,5.876,40
114,24,18,5000,5.515,34
115,25,18,5000,5.997,39.16666667
116,26,18,5000,5.578,27.66666667
117,27,18,5000,6.089,30.83333333
118,28,18,5000,5.597,40.83333333
119,29,18,5000,5.502,43
120,30,18,5000,5.599,27.5
121,1,21,5000,5.595,28.16666667
122,2,21,5000,5.516,26.16666667
123,3,21,5000,5.535,33.16666667
124,4,21,5000,5.693,30
125,5,21,5000,5.412,38.5
126,6,21,5000,5.607,20.16666667
127,7,21,5000,5.67,18.5
128,8,21,5000,5.571,23.16666667
129,9,21,5000,5.561,39.33333333
130,10,21,5000,5.904,18.83333333
131,11,21,5000,5.722,29.83333333
132,12,21,5000,5.939,23
133,13,21,5000,5.778,29.16666667
134,14,21,5000,5.868,22
135,15,21,5000,5.972,26.83333333
136,16,21,5000,6.416,43.66666667
137,17,21,5000,5.681,33.16666667
138,18,21,5000,5.747,33
139,19,21,5000,5.618,30
140,20,21,5000,5.525,28.83333333
141,21,21,5000,5.609,39.33333333
142,22,21,5000,5.703,26.66666667
143,23,21,5000,5.514,36.5
144,24,21,5000,5.595,37
145,25,21,5000,5.7,24.5
146,26,21,5000,5.538,20.83333333
147,27,21,5000,5.811,13.83333333
148,28,21,5000,5.718,10.66666667
149,29,21,5000,5.752,28.5
150,30,21,5000,5.739,26.5
