"","Tipo","Nucleos","Time"
"datos","Ordenado","1","2.315"
"","Reverso","1","2.112"
"","Aleatorio","1","2.006"
"","Ordenado","1","2.072"
"","Reverso","1","2.013"
"","Aleatorio","1","2.043"
"","Ordenado","1","2.129"
"","Reverso","1","2.241"
"","Aleatorio","1","2.194"
"","Ordenado","1","2.058"
"","Reverso","1","2.034"
"","Aleatorio","1","2.143"
"","Ordenado","1","2.106"
"","Reverso","1","2.179"
"","Aleatorio","1","2.031"
"","Ordenado","1","2.008"
"","Reverso","1","2.073"
"","Aleatorio","1","1.89400000000001"
"","Ordenado","1","2.079"
"","Reverso","1","1.98"
"","Aleatorio","1","1.99299999999999"
"","Ordenado","1","2.04"
"","Reverso","1","2.06"
"","Aleatorio","1","1.993"
"","Ordenado","1","1.95"
"","Reverso","1","1.936"
"","Aleatorio","1","1.948"
"","Ordenado","1","1.98800000000001"
"","Reverso","1","2.098"
"","Aleatorio","1","1.98599999999999"
"","Ordenado","1","1.98700000000001"
"","Reverso","1","2.217"
"","Aleatorio","1","1.90299999999999"
"","Ordenado","1","1.96600000000001"
"","Reverso","1","1.952"
"","Aleatorio","1","2.11"
"","Ordenado","1","2.143"
"","Reverso","1","2.029"
"","Aleatorio","1","2.08999999999999"
"","Ordenado","1","2.05200000000001"
"","Reverso","1","1.982"
"","Aleatorio","1","2.08200000000001"
"","Ordenado","1","1.919"
"","Reverso","1","1.881"
"","Aleatorio","1","1.905"
"","Ordenado","1","1.97199999999999"
"","Reverso","1","1.89100000000001"
"","Aleatorio","1","1.95699999999999"
"","Ordenado","1","2.026"
"","Reverso","1","2.08499999999999"
"","Aleatorio","1","1.961"
"","Ordenado","1","2.08399999999999"
"","Reverso","1","2.062"
"","Aleatorio","1","1.93700000000001"
"","Ordenado","1","1.95700000000001"
"","Reverso","1","1.911"
"","Aleatorio","1","2.05399999999999"
"","Ordenado","1","1.99600000000001"
"","Reverso","1","1.917"
"","Aleatorio","1","1.92699999999999"
"","Ordenado","1","2.012"
"","Reverso","1","1.964"
"","Aleatorio","1","1.964"
"","Ordenado","1","2.00400000000002"
"","Reverso","1","2.018"
"","Aleatorio","1","1.976"
"","Ordenado","1","2.03300000000002"
"","Reverso","1","2.04599999999999"
"","Aleatorio","1","1.97999999999999"
"","Ordenado","1","2.04000000000002"
"","Reverso","1","2.011"
"","Aleatorio","1","1.976"
"","Ordenado","1","1.93899999999999"
"","Reverso","1","2.054"
"","Aleatorio","1","1.94200000000001"
"","Ordenado","1","1.99300000000002"
"","Reverso","1","2.02600000000001"
"","Aleatorio","1","2.006"
"","Ordenado","1","2.048"
"","Reverso","1","1.94900000000001"
"","Aleatorio","1","2.023"
"","Ordenado","1","2.053"
"","Reverso","1","1.89999999999998"
"","Aleatorio","1","1.917"
"","Ordenado","1","1.94400000000002"
"","Reverso","1","1.86099999999999"
"","Aleatorio","1","1.982"
"","Ordenado","1","1.96799999999999"
"","Reverso","1","1.85499999999999"
"","Aleatorio","1","1.98100000000002"
"","Ordenado","2","2.12199999999999"
"","Reverso","2","2.108"
"","Aleatorio","2","1.89600000000002"
"","Ordenado","2","1.97499999999999"
"","Reverso","2","1.946"
"","Aleatorio","2","1.899"
"","Ordenado","2","2.02499999999998"
"","Reverso","2","1.922"
