"","Tipo","Nucleos","Time"
"datos","Ordenado","1","4.334"
"","Reverso","1","4.317"
"","Aleatorio","1","4.132"
"","Ordenado","1","4.155"
"","Reverso","1","4.143"
"","Aleatorio","1","4.135"
"","Ordenado","1","4.115"
"","Reverso","1","4.125"
"","Aleatorio","1","4.034"
"","Ordenado","1","4.284"
"","Reverso","1","4.206"
"","Aleatorio","1","4.045"
"","Ordenado","1","4.125"
"","Reverso","1","4.093"
"","Aleatorio","1","4.084"
"","Ordenado","1","4.15599999999999"
"","Reverso","1","4.11500000000001"
"","Aleatorio","1","4.13500000000001"
"","Ordenado","1","4.10799999999999"
"","Reverso","1","4.336"
"","Aleatorio","1","4.26400000000001"
"","Ordenado","1","4.291"
"","Reverso","1","4.074"
"","Aleatorio","1","4.104"
"","Ordenado","1","4.057"
"","Reverso","1","4.167"
"","Aleatorio","1","4.18300000000001"
"","Ordenado","1","4.164"
"","Reverso","1","4.18899999999999"
"","Aleatorio","1","4.131"
"","Ordenado","1","4.14000000000001"
"","Reverso","1","4.102"
"","Aleatorio","1","4.14700000000002"
"","Ordenado","1","4.16300000000001"
"","Reverso","1","4.137"
"","Aleatorio","1","4.19300000000001"
"","Ordenado","1","4.05699999999999"
"","Reverso","1","4.065"
"","Aleatorio","1","4.06999999999999"
"","Ordenado","1","4.148"
"","Reverso","1","4.102"
"","Aleatorio","1","4.136"
"","Ordenado","1","4.108"
"","Reverso","1","4.12899999999999"
"","Aleatorio","1","4.023"
"","Ordenado","1","4.09599999999998"
"","Reverso","1","4.077"
"","Aleatorio","1","4.233"
"","Ordenado","1","4.13999999999999"
"","Reverso","1","4.065"
"","Aleatorio","1","4.244"
"","Ordenado","1","4.024"
"","Reverso","1","4.16999999999999"
"","Aleatorio","1","4.14699999999999"
"","Ordenado","1","4.126"
"","Reverso","1","4.161"
"","Aleatorio","1","4.10400000000001"
"","Ordenado","1","4.18300000000002"
"","Reverso","1","4.10599999999999"
"","Aleatorio","1","4.179"
"","Ordenado","1","4.268"
"","Reverso","1","4.14400000000001"
"","Aleatorio","1","4.06999999999999"
"","Ordenado","1","4.15600000000001"
"","Reverso","1","4.21000000000004"
"","Aleatorio","1","4.07800000000003"
"","Ordenado","1","4.28899999999999"
"","Reverso","1","4.37199999999996"
"","Aleatorio","1","4.25800000000004"
"","Ordenado","1","4.26600000000002"
"","Reverso","1","4.291"
"","Aleatorio","1","4.19099999999997"
"","Ordenado","1","4.17599999999999"
"","Reverso","1","4.14800000000002"
"","Aleatorio","1","4.10699999999997"
"","Ordenado","1","4.17000000000002"
"","Reverso","1","4.06899999999996"
"","Aleatorio","1","4.13900000000001"
"","Ordenado","1","4.28799999999995"
"","Reverso","1","4.10300000000001"
"","Aleatorio","1","4.09700000000004"
"","Ordenado","1","4.13"
"","Reverso","1","4.14099999999996"
"","Aleatorio","1","4.21800000000002"
"","Ordenado","1","4.23099999999999"
"","Reverso","1","4.15700000000004"
"","Aleatorio","1","4.185"
"","Ordenado","1","4.17900000000003"
"","Reverso","1","4.24299999999999"
"","Aleatorio","1","4.15699999999998"
"","Ordenado","2","4.28899999999999"
"","Reverso","2","4.19499999999999"
"","Aleatorio","2","4.12700000000001"
"","Ordenado","2","3.99700000000001"
"","Reverso","2","4.03800000000001"
"","Aleatorio","2","4.108"
"","Ordenado","2","4.142"
"","Reverso","2","4.173"
"","Aleatorio","2","4.12399999999997"
"","Ordenado","2","4.13799999999998"
"","Reverso","2","4.04500000000002"
"","Aleatorio","2","4.096"
"","Ordenado","2","4.14400000000001"
"","Reverso","2","4.19400000000002"
"","Aleatorio","2","4.19299999999998"
"","Ordenado","2","4.15999999999997"
"","Reverso","2","4.12400000000002"
"","Aleatorio","2","4.01000000000005"
"","Ordenado","2","4.053"
"","Reverso","2","4.10499999999996"
"","Aleatorio","2","4.05000000000001"
"","Ordenado","2","4.14699999999999"
"","Reverso","2","4.08499999999998"
"","Aleatorio","2","4.10200000000003"
"","Ordenado","2","4.077"
"","Reverso","2","4.16800000000001"
"","Aleatorio","2","4.12400000000002"
"","Ordenado","2","4.15099999999995"
"","Reverso","2","4.19099999999997"
"","Aleatorio","2","4.13200000000001"
"","Ordenado","2","4.101"
"","Reverso","2","4.17500000000001"
"","Aleatorio","2","4.03499999999997"
"","Ordenado","2","4.10200000000009"
"","Reverso","2","4.15699999999993"
"","Aleatorio","2","4.053"
"","Ordenado","2","4.13999999999999"
"","Reverso","2","4.10400000000004"
"","Aleatorio","2","4.11199999999997"
"","Ordenado","2","4.07900000000006"
"","Reverso","2","4.06799999999998"
"","Aleatorio","2","4.16499999999996"
"","Ordenado","2","4.15899999999999"
"","Reverso","2","4.09299999999996"
"","Aleatorio","2","4.09499999999991"
"","Ordenado","2","4.19899999999996"
"","Reverso","2","4.12"
"","Aleatorio","2","4.05399999999997"
"","Ordenado","2","4.15800000000002"
"","Reverso","2","4.21399999999994"
"","Aleatorio","2","4.17199999999991"
"","Ordenado","2","4.07899999999995"
"","Reverso","2","4.17200000000003"
"","Aleatorio","2","4.11400000000003"
"","Ordenado","2","4.09199999999998"
"","Reverso","2","4.11800000000005"
"","Aleatorio","2","4.17700000000002"
"","Ordenado","2","3.98099999999999"
"","Reverso","2","3.9559999999999"
"","Aleatorio","2","4.03099999999995"
"","Ordenado","2","4.08000000000004"
"","Reverso","2","4.03399999999999"
"","Aleatorio","2","4.11099999999999"
"","Ordenado","2","4.19200000000001"
"","Reverso","2","4.202"
"","Aleatorio","2","4.16099999999994"
"","Ordenado","2","4.10199999999998"
"","Reverso","2","4.19999999999993"
"","Aleatorio","2","4.13099999999997"
"","Ordenado","2","4.30799999999999"
"","Reverso","2","4.375"
"","Aleatorio","2","4.279"
"","Ordenado","2","4.37800000000004"
"","Reverso","2","4.12800000000004"
"","Aleatorio","2","4.10800000000006"
"","Ordenado","2","4.07799999999997"
"","Reverso","2","4.22000000000003"
"","Aleatorio","2","4.15900000000011"
"","Ordenado","2","4.14999999999998"
"","Reverso","2","4.15300000000002"
"","Aleatorio","2","4.04999999999995"
"","Ordenado","2","4.09799999999996"
"","Reverso","2","4.11199999999997"
"","Aleatorio","2","4.1400000000001"
"","Ordenado","2","4.149"
"","Reverso","2","4.14999999999998"
"","Aleatorio","2","4.06799999999998"
"","Ordenado","2","4.11199999999997"
"","Reverso","2","4.15500000000009"
"","Aleatorio","2","4.09399999999994"
"","Ordenado","3","4.27499999999998"
"","Reverso","3","4.24699999999996"
"","Aleatorio","3","4.12300000000005"
"","Ordenado","3","4.25800000000004"
"","Reverso","3","4.18499999999995"
