"","Tipo","Nucleos","Time"
"datos","Ordenado","1","3.085"
"","Reverso","1","2.896"
"","Aleatorio","1","2.567"
"","Ordenado","1","2.661"
"","Reverso","1","2.611"
"","Aleatorio","1","2.569"
"","Ordenado","1","2.601"
"","Reverso","1","2.605"
"","Aleatorio","1","2.569"
"","Ordenado","1","2.669"
"","Reverso","1","2.586"
"","Aleatorio","1","2.779"
"","Ordenado","1","2.657"
"","Reverso","1","2.597"
"","Aleatorio","1","2.623"
"","Ordenado","1","2.787"
"","Reverso","1","2.597"
"","Aleatorio","1","2.597"
"","Ordenado","1","2.599"
"","Reverso","1","2.592"
"","Aleatorio","1","2.559"
"","Ordenado","1","2.65499999999999"
"","Reverso","1","2.58800000000001"
"","Aleatorio","1","2.577"
"","Ordenado","1","2.63"
"","Reverso","1","2.581"
"","Aleatorio","1","2.55900000000001"
"","Ordenado","1","2.667"
"","Reverso","1","2.592"
"","Aleatorio","1","2.57599999999999"
"","Ordenado","1","2.58"
"","Reverso","1","2.598"
"","Aleatorio","1","2.568"
"","Ordenado","1","2.645"
"","Reverso","1","2.593"
"","Aleatorio","1","2.785"
"","Ordenado","1","3.08499999999999"
"","Reverso","1","2.651"
"","Aleatorio","1","3.24900000000001"
"","Ordenado","1","3.17399999999999"
"","Reverso","1","2.974"
"","Aleatorio","1","3.20099999999999"
"","Ordenado","1","3.048"
"","Reverso","1","2.77900000000001"
"","Aleatorio","1","3.023"
"","Ordenado","1","3.006"
"","Reverso","1","2.94"
"","Aleatorio","1","2.66200000000001"
"","Ordenado","1","2.63900000000001"
"","Reverso","1","2.607"
"","Aleatorio","1","2.607"
"","Ordenado","1","2.756"
"","Reverso","1","2.62800000000001"
"","Aleatorio","1","2.58199999999999"
"","Ordenado","1","2.614"
"","Reverso","1","2.60900000000001"
"","Aleatorio","1","2.58599999999998"
"","Ordenado","1","2.70599999999999"
"","Reverso","1","2.60600000000002"
"","Aleatorio","1","2.59100000000001"
"","Ordenado","1","2.61199999999999"
"","Reverso","1","2.69000000000003"
"","Aleatorio","1","2.59200000000001"
"","Ordenado","1","2.672"
"","Reverso","1","2.61700000000002"
"","Aleatorio","1","2.60400000000001"
"","Ordenado","1","2.68000000000001"
"","Reverso","1","2.601"
"","Aleatorio","1","2.661"
"","Ordenado","1","2.69000000000003"
"","Reverso","1","2.61600000000001"
"","Aleatorio","1","2.58000000000001"
"","Ordenado","1","2.66800000000001"
"","Reverso","1","2.62300000000002"
"","Aleatorio","1","2.62"
"","Ordenado","1","2.68799999999999"
"","Reverso","1","2.595"
"","Aleatorio","1","2.60899999999998"
