"","Tipo","Nucleos","Time"
"datos","MedioIntercalado","0","2.738"
"","MedioAscendente","0","2.76"
"","MedioDescendete","0","2.8"
"","MedioIntercalado","0","2.715"
"","MedioAscendente","0","2.646"
"","MedioDescendete","0","2.778"
"","MedioIntercalado","0","2.815"
"","MedioAscendente","0","2.701"
"","MedioDescendete","0","2.677"
"","MedioIntercalado","0","2.786"
"","MedioAscendente","0","2.786"
"","MedioDescendete","0","2.693"
"","MedioIntercalado","0","2.709"
"","MedioAscendente","0","2.743"
"","MedioDescendete","0","2.732"
"","MedioIntercalado","0","2.706"
"","MedioAscendente","0","2.732"
"","MedioDescendete","0","2.698"
"","MedioIntercalado","0","2.731"
"","MedioAscendente","0","2.789"
"","MedioDescendete","0","2.739"
"","MedioIntercalado","0","2.664"
"","MedioAscendente","0","2.686"
"","MedioDescendete","0","2.75399999999999"
"","MedioIntercalado","0","2.702"
"","MedioAscendente","0","2.709"
"","MedioDescendete","0","2.723"
"","MedioIntercalado","0","2.816"
"","MedioAscendente","0","2.74300000000001"
"","MedioDescendete","0","2.66499999999999"
"","MedioIntercalado","1","2.845"
"","MedioAscendente","1","2.99600000000001"
"","MedioDescendete","1","2.872"
"","MedioIntercalado","1","2.899"
"","MedioAscendente","1","2.895"
"","MedioDescendete","1","2.931"
"","MedioIntercalado","1","2.92899999999999"
"","MedioAscendente","1","2.85900000000001"
"","MedioDescendete","1","2.905"
"","MedioIntercalado","1","2.869"
"","MedioAscendente","1","3.04899999999999"
"","MedioDescendete","1","2.89400000000001"
"","MedioIntercalado","1","3.11499999999999"
"","MedioAscendente","1","2.833"
"","MedioDescendete","1","2.90899999999999"
"","MedioIntercalado","1","2.90000000000001"
"","MedioAscendente","1","3.08199999999999"
"","MedioDescendete","1","2.99800000000002"
"","MedioIntercalado","1","2.93799999999999"
"","MedioAscendente","1","2.87900000000002"
"","MedioDescendete","1","2.84999999999999"
"","MedioIntercalado","1","3.012"
"","MedioAscendente","1","2.82599999999999"
"","MedioDescendete","1","2.82499999999999"
"","MedioIntercalado","1","2.89499999999998"
"","MedioAscendente","1","2.96200000000002"
"","MedioDescendete","1","2.86000000000001"
"","MedioIntercalado","1","2.89400000000001"
"","MedioAscendente","1","2.90099999999998"
"","MedioDescendete","1","2.81100000000001"
"","MedioIntercalado","2","2.48099999999999"
"","MedioAscendente","2","2.81800000000001"
"","MedioDescendete","2","2.75900000000001"
"","MedioIntercalado","2","2.15600000000001"
"","MedioAscendente","2","3.38200000000001"
"","MedioDescendete","2","3.41399999999999"
"","MedioIntercalado","2","1.71600000000001"
"","MedioAscendente","2","2.774"
"","MedioDescendete","2","2.804"
"","MedioIntercalado","2","1.65299999999999"
"","MedioAscendente","2","2.80600000000001"
"","MedioDescendete","2","2.779"
"","MedioIntercalado","2","1.68899999999999"
"","MedioAscendente","2","2.82400000000001"
"","MedioDescendete","2","2.761"
"","MedioIntercalado","2","1.67699999999999"
"","MedioAscendente","2","2.81999999999999"
"","MedioDescendete","2","2.82500000000002"
"","MedioIntercalado","2","1.68400000000003"
