"","Tipo","Nucleos","Time"
"datos","Ordenado","1","0.509"
"","Reverso","1","0.47"
"","Aleatorio","1","0.498"
"","Pares","1","0.0330000000000001"
"","Impares","1","1.007"
"","MaxPrimo","1","1.702"
"","Medium","1","1.76"
"","Ordenado","1","0.472999999999999"
"","Reverso","1","0.495000000000001"
"","Aleatorio","1","0.52"
"","Pares","1","0.032"
"","Impares","1","1.027"
"","MaxPrimo","1","1.723"
"","Medium","1","1.721"
"","Ordenado","1","0.492000000000001"
"","Reverso","1","0.495999999999999"
"","Aleatorio","1","0.498999999999999"
"","Pares","1","0.0309999999999988"
"","Impares","1","1.019"
"","MaxPrimo","1","1.687"
"","Medium","1","1.727"
"","Ordenado","1","0.483000000000001"
"","Reverso","1","0.495999999999999"
"","Aleatorio","1","0.491"
"","Pares","1","0.0680000000000014"
"","Impares","1","1.007"
"","MaxPrimo","1","1.706"
"","Medium","1","1.714"
"","Ordenado","1","0.485999999999997"
"","Reverso","1","0.492000000000001"
"","Aleatorio","1","0.491"
"","Pares","1","0.0329999999999977"
"","Impares","1","1.019"
"","MaxPrimo","1","1.712"
"","Medium","1","1.715"
"","Ordenado","1","0.518000000000001"
"","Reverso","1","0.493000000000002"
"","Aleatorio","1","0.488"
"","Pares","1","0.0330000000000013"
"","Impares","1","1.006"
"","MaxPrimo","1","1.684"
"","Medium","1","1.711"
"","Ordenado","1","0.481999999999999"
"","Reverso","1","0.489000000000004"
"","Aleatorio","1","0.509"
"","Pares","1","0.0330000000000013"
"","Impares","1","0.993000000000002"
"","MaxPrimo","1","1.673"
"","Medium","1","1.741"
"","Ordenado","1","0.490000000000002"
"","Reverso","1","0.484999999999999"
"","Aleatorio","1","0.474000000000004"
"","Pares","1","0.0330000000000013"
"","Impares","1","0.991000000000007"
"","MaxPrimo","1","1.682"
"","Medium","1","1.752"
"","Ordenado","1","0.480000000000004"
"","Reverso","1","0.494"
"","Aleatorio","1","0.469999999999999"
"","Pares","1","0.0329999999999941"
"","Impares","1","0.988"
"","MaxPrimo","1","1.673"
"","Medium","1","1.69"
"","Ordenado","1","0.472999999999999"
"","Reverso","1","0.467999999999996"
"","Aleatorio","1","0.466999999999999"
"","Pares","1","0.0349999999999966"
"","Impares","1","1.04"
"","MaxPrimo","1","1.716"
"","Medium","1","1.703"
"","Ordenado","1","0.503"
"","Reverso","1","0.468000000000004"
"","Aleatorio","1","0.491"
"","Pares","1","0.0309999999999988"
"","Impares","1","1.008"
"","MaxPrimo","1","1.67200000000001"
"","Medium","1","1.71599999999999"
