"","Tipo","Nucleos","Time"
"datos","Ordenado","1","0.14"
"","Reverso","1","0.119"
"","Aleatorio","1","0.12"
"","Ordenado","1","0.12"
"","Reverso","1","0.118"
"","Aleatorio","1","0.116"
"","Ordenado","1","0.119"
"","Reverso","1","0.121"
"","Aleatorio","1","0.119"
"","Ordenado","1","0.117999999999999"
"","Reverso","1","0.115"
"","Aleatorio","1","0.117999999999999"
"","Ordenado","1","0.117999999999999"
"","Reverso","1","0.116"
"","Aleatorio","1","0.119000000000001"
"","Ordenado","1","0.119"
"","Reverso","1","0.132"
"","Aleatorio","1","0.131"
"","Ordenado","1","0.130000000000001"
"","Reverso","1","0.127"
"","Aleatorio","1","0.126"
"","Ordenado","1","0.133999999999999"
"","Reverso","1","0.123"
"","Aleatorio","1","0.122"
"","Ordenado","1","0.119"
"","Reverso","1","0.114999999999999"
"","Aleatorio","1","0.122"
"","Ordenado","1","0.119999999999999"
"","Reverso","1","0.119"
"","Aleatorio","1","0.119"
"","Ordenado","1","0.116"
"","Reverso","1","0.120999999999999"
"","Aleatorio","1","0.120999999999999"
"","Ordenado","1","0.120000000000001"
"","Reverso","1","0.120000000000001"
"","Aleatorio","1","0.121"
"","Ordenado","1","0.119"
"","Reverso","1","0.122"
"","Aleatorio","1","0.121"
"","Ordenado","1","0.121"
"","Reverso","1","0.123999999999999"
"","Aleatorio","1","0.117000000000001"
"","Ordenado","1","0.124000000000001"
"","Reverso","1","0.121"
"","Aleatorio","1","0.127000000000001"
"","Ordenado","1","0.141"
"","Reverso","1","0.125999999999999"
"","Aleatorio","1","0.124000000000001"
"","Ordenado","1","0.193999999999999"
"","Reverso","1","0.119999999999999"
"","Aleatorio","1","0.116999999999999"
"","Ordenado","1","0.116999999999999"
"","Reverso","1","0.122999999999999"
"","Aleatorio","1","0.130999999999998"
"","Ordenado","1","0.119"
"","Reverso","1","0.122999999999999"
"","Aleatorio","1","0.119"
"","Ordenado","1","0.125"
"","Reverso","1","0.122"
"","Aleatorio","1","0.119999999999999"
"","Ordenado","1","0.116"
"","Reverso","1","0.118"
"","Aleatorio","1","0.125"
"","Ordenado","1","0.119"
"","Reverso","1","0.117999999999999"
"","Aleatorio","1","0.120999999999999"
"","Ordenado","1","0.119"
"","Reverso","1","0.125999999999998"
"","Aleatorio","1","0.122"
"","Ordenado","1","0.122"
"","Reverso","1","0.116"
"","Aleatorio","1","0.117999999999999"
"","Ordenado","1","0.116"
"","Reverso","1","0.119"
"","Aleatorio","1","0.122"
"","Ordenado","1","0.120999999999999"
"","Reverso","1","0.117000000000001"
"","Aleatorio","1","0.116"
"","Ordenado","1","0.117999999999999"
"","Reverso","1","0.120999999999999"
"","Aleatorio","1","0.118000000000002"
"","Ordenado","1","0.114000000000001"
"","Reverso","1","0.129000000000001"
"","Aleatorio","1","0.129999999999999"
"","Ordenado","1","0.135000000000002"
"","Reverso","1","0.131"
"","Aleatorio","1","0.159999999999997"
"","Ordenado","1","0.157"
"","Reverso","1","0.134"
"","Aleatorio","1","0.120000000000001"
"","Ordenado","1","0.122"
