"","replicas","largos"
"1",1,6
"2",2,12
"3",3,15
"4",4,74
"5",5,21
"6",6,9
"7",7,102
"8",8,15
"9",9,52
"10",10,8
"11",11,10
"12",12,147
"13",13,24
"14",14,13
"15",15,6
"16",16,6
"17",17,7
"18",18,15
"19",19,5
"20",20,14
"21",21,10
"22",22,16
"23",23,23
"24",24,7
"25",25,17
"26",26,11
"27",27,14
"28",28,13
"29",29,6
"30",30,8
"31",31,45
"32",32,29
"33",33,31
"34",34,7
"35",35,155
"36",36,33
"37",37,51
"38",38,32
"39",39,25
"40",40,33
"41",41,8
"42",42,31
"43",43,13
"44",44,19
"45",45,16
"46",46,17
"47",47,7
"48",48,101
"49",49,13
"50",50,38
"51",51,26
"52",52,13
"53",53,49
"54",54,8
"55",55,7
"56",56,27
"57",57,9
"58",58,11
"59",59,2
"60",60,17
"61",61,48
"62",62,17
"63",63,41
"64",64,8
"65",65,6
"66",66,3
"67",67,8
"68",68,9
"69",69,83
"70",70,9
"71",71,10
"72",72,6
"73",73,15
"74",74,2
"75",75,6
"76",76,20
"77",77,8
"78",78,8
"79",79,44
"80",80,50
"81",81,53
"82",82,16
"83",83,27
"84",84,7
"85",85,31
"86",86,6
"87",87,6
"88",88,8
"89",89,8
"90",90,8
"91",91,2
"92",92,13
"93",93,6
"94",94,23
"95",95,8
"96",96,7
"97",97,5
"98",98,37
"99",99,53
"100",100,41
"101",101,24
"102",102,61
"103",103,36
"104",104,28
"105",105,15
"106",106,9
"107",107,67
"108",108,10
"109",109,13
"110",110,45
"111",111,4
"112",112,26
"113",113,12
"114",114,10
"115",115,6
"116",116,4
"117",117,14
"118",118,10
"119",119,85
"120",120,15
"121",121,6
"122",122,56
"123",123,64
"124",124,8
"125",125,8
"126",126,19
"127",127,4
"128",128,13
"129",129,18
"130",130,12
"131",131,22
"132",132,8
"133",133,13
"134",134,14
"135",135,127
"136",136,4
"137",137,22
"138",138,23
"139",139,14
"140",140,6
"141",141,21
"142",142,6
"143",143,13
"144",144,10
"145",145,51
"146",146,7
"147",147,19
"148",148,89
"149",149,17
"150",150,12
"151",151,14
"152",152,21
"153",153,6
"154",154,18
"155",155,41
"156",156,9
"157",157,8
"158",158,18
"159",159,46
"160",160,72
"161",161,11
"162",162,41
"163",163,111
"164",164,5
"165",165,16
"166",166,11
"167",167,22
"168",168,8
"169",169,12
"170",170,18
"171",171,7
"172",172,69
"173",173,34
"174",174,16
"175",175,11
"176",176,25
"177",177,135
"178",178,59
"179",179,28
"180",180,48
"181",181,15
"182",182,14
"183",183,8
"184",184,105
"185",185,7
"186",186,39
"187",187,19
"188",188,36
"189",189,11
"190",190,11
"191",191,35
"192",192,26
"193",193,35
"194",194,15
"195",195,9
"196",196,119
"197",197,68
"198",198,27
"199",199,31
"200",200,13
