"","Largos","Dimension","Semillas"
"1",4,40,10
"2",26,40,10
"3",34,40,10
"4",19,40,10
"5",8,40,10
"6",11,40,10
"7",12,40,10
"8",34,40,10
"9",17,40,10
"10",51,40,10
"11",41,40,10
"12",30,40,10
"13",42,40,10
"14",23,40,10
"15",42,40,10
"16",14,40,10
"17",8,40,10
"18",40,40,10
"19",33,40,10
"20",29,40,10
"21",11,40,10
"22",7,40,10
"23",29,40,10
"24",95,40,10
"25",9,40,10
"26",33,40,10
"27",42,40,10
"28",6,40,10
"29",27,40,10
"30",22,40,10
"31",85,40,10
"32",16,40,10
"33",63,40,10
"34",119,40,10
"35",20,40,10
"36",37,40,10
"37",5,40,10
"38",21,40,10
"39",43,40,10
"40",8,40,10
"41",25,40,10
"42",62,40,10
"43",29,40,10
"44",42,40,10
"45",94,40,10
"46",21,40,10
"47",10,40,10
"48",27,40,10
"49",7,40,10
"50",24,40,10
"51",18,40,10
"52",71,40,10
"53",9,40,10
"54",22,40,10
"55",9,40,10
"56",42,40,10
"57",32,40,10
"58",26,40,10
"59",15,40,10
"60",44,40,10
"61",29,40,10
"62",47,40,10
"63",12,40,10
"64",35,40,10
"65",36,40,10
"66",49,40,10
"67",20,40,10
"68",33,40,10
"69",56,40,10
"70",16,40,10
"71",29,40,10
"72",8,40,10
"73",45,40,10
"74",20,40,10
"75",6,40,10
"76",10,40,10
"77",3,40,10
"78",26,40,10
"79",16,40,10
"80",23,40,10
"81",26,40,10
"82",14,40,10
"83",3,40,10
"84",15,40,10
"85",8,40,10
"86",15,40,10
"87",5,40,10
"88",22,40,10
"89",15,40,10
"90",19,40,10
"91",17,40,10
"92",67,40,10
"93",40,40,10
"94",5,40,10
"95",26,40,10
"96",18,40,10
"97",10,40,10
"98",13,40,10
"99",31,40,10
"100",10,40,10
"101",37,40,10
"102",34,40,10
"103",5,40,10
"104",23,40,10
"105",11,40,10
"106",14,40,10
"107",28,40,10
"108",13,40,10
"109",39,40,10
"110",21,40,10
"111",31,40,10
"112",57,40,10
"113",8,40,10
"114",31,40,10
"115",37,40,10
"116",14,40,10
"117",8,40,10
"118",14,40,10
"119",7,40,10
"120",16,40,10
"121",8,40,10
"122",3,40,10
"123",5,40,10
"124",12,40,10
"125",8,40,10
"126",9,40,10
"127",29,40,10
"128",15,40,10
"129",37,40,10
"130",50,40,10
"131",17,40,10
"132",16,40,10
"133",7,40,10
"134",42,40,10
"135",9,40,10
"136",21,40,10
"137",11,40,10
"138",71,40,10
"139",27,40,10
"140",84,40,10
"141",14,40,10
"142",16,40,10
"143",8,40,10
"144",5,40,10
"145",128,40,10
"146",14,40,10
"147",16,40,10
"148",13,40,10
"149",17,40,10
"150",27,40,10
"151",9,40,10
"152",58,40,10
"153",35,40,10
"154",13,40,10
"155",10,40,10
"156",17,40,10
"157",55,40,10
"158",11,40,10
"159",3,40,10
"160",31,40,10
"161",18,40,10
"162",43,40,10
"163",17,40,10
"164",20,40,10
"165",38,40,10
"166",31,40,10
"167",13,40,10
"168",77,40,10
"169",20,40,10
"170",25,40,10
"171",6,40,10
"172",22,40,10
"173",29,40,10
"174",34,40,10
"175",34,40,10
"176",7,40,10
"177",8,40,10
"178",35,40,10
"179",28,40,10
"180",21,40,10
"181",29,40,10
"182",9,40,10
"183",15,40,10
"184",7,40,10
"185",8,40,10
"186",53,40,10
"187",40,40,10
"188",39,40,10
"189",17,40,10
"190",38,40,10
"191",10,40,10
"192",31,40,10
"193",3,40,10
"194",17,40,10
"195",7,40,10
"196",10,40,10
