"","rep","time","pi","mi"
"1",1,7.507,0.05,70
"2",2,7.51,0.05,54
"3",3,7.333,0.05,56
"4",4,7.994,0.05,70
"5",5,7.376,0.05,54
"6",6,8.15,0.05,64
"7",7,7.445,0.05,76
"8",8,6.147,0.05,46
"9",9,5.895,0.05,52
"10",10,6.39700000000001,0.05,58
"11",11,0.0280000000000058,0.05,0
"12",12,8.146,0.05,74
"13",13,7.797,0.05,62
"14",14,7.158,0.05,66
"15",15,7.125,0.05,64
"16",16,7.735,0.05,70
"17",17,8.126,0.05,62
"18",18,8.33200000000001,0.05,60
"19",19,6.58,0.05,46
"20",20,7.55499999999998,0.05,54
"21",21,0.0269999999999868,0.05,0
"22",22,7.38,0.05,62
"23",23,7.23399999999998,0.05,66
"24",24,0.0289999999999964,0.05,0
"25",25,7.51999999999998,0.05,60
"26",26,7.191,0.05,62
"27",27,8.05500000000001,0.05,74
"28",28,7.74799999999999,0.05,56
"29",29,7.77600000000001,0.05,70
"30",30,7.94400000000002,0.05,76
