"","rep","time","pi","mi"
"1",1,1.448,0.05,80
"2",2,1.474,0.05,76
"3",3,1.966,0.05,70
"4",4,1.398,0.05,80
"5",5,1.371,0.05,76
"6",6,1.585,0.05,76
"7",7,1.039,0.05,64
"8",8,2.064,0.05,64
"9",9,1.108,0.05,80
"10",10,0,0.05,0
"11",11,1.916,0.05,70
"12",12,1.394,0.05,76
"13",13,1.33,0.05,86
"14",14,1.151,0.05,74
"15",15,1.416,0.05,74
"16",16,1.256,0.05,76
"17",17,1.473,0.05,70
"18",18,1.992,0.05,58
"19",19,1.262,0.05,72
"20",20,1.442,0.05,68
"21",21,1.231,0.05,72
"22",22,1.886,0.05,62
"23",23,1.616,0.05,76
"24",24,1.138,0.05,76
"25",25,1.499,0.05,76
"26",26,1.266,0.05,66
"27",27,1.589,0.05,78
"28",28,1.41999999999999,0.05,66
"29",29,1.133,0.05,88
"30",30,1.066,0.05,80
