"","rep","time","pv","mi"
"1",1,1.927,0,66
"2",2,1.553,0,70
"3",3,1.225,0,78
"4",4,1.689,0,80
"5",5,1.09,0,72
"6",6,1.093,0,72
"7",7,0.000999999999999446,0,0
"8",8,1.251,0,66
"9",9,1.418,0,74
"10",10,0.00100000000000122,0,0
"11",11,1.14,0,74
"12",12,1.282,0,62
"13",13,1.605,0,64
"14",14,1.473,0,72
"15",15,1.31,0,74
"16",16,1.465,0,74
"17",17,1.079,0,72
"18",18,1.051,0,68
"19",19,1.345,0,64
"20",20,1.493,0,70
"21",21,1.447,0,72
"22",22,1.283,0,74
"23",23,1.481,0,66
"24",24,1.751,0,82
"25",25,0.000999999999997669,0,0
"26",26,0,0,0
"27",27,0,0,0
"28",28,1.441,0,72
"29",29,1.255,0,74
"30",30,1.215,0,56
"31",1,1.178,0.1,62
"32",2,0.266999999999996,0.1,4
"33",3,0,0.1,0
"34",4,1.625,0.1,64
"35",5,1.73,0.1,66
"36",6,1.096,0.1,78
"37",7,1.365,0.1,56
"38",8,0.00100000000000477,0.1,0
"39",9,0.00100000000000477,0.1,0
"40",10,1.206,0.1,58
"41",11,1.119,0.1,74
"42",12,1.238,0.1,66
"43",13,1.087,0.1,60
"44",14,1.124,0.1,66
"45",15,1.663,0.1,60
"46",16,1.123,0.1,66
"47",17,1.333,0.1,70
"48",18,1.099,0.1,60
"49",19,1.78100000000001,0.1,52
"50",20,1.617,0.1,58
"51",21,1.456,0.1,46
"52",22,1.01,0.1,62
"53",23,0.747999999999998,0.1,76
"54",24,1.192,0.1,60
"55",25,2.325,0.1,58
"56",26,0,0.1,0
"57",27,1.59100000000001,0.1,74
"58",28,1.23599999999999,0.1,58
"59",29,1.92500000000001,0.1,50
"60",30,1.345,0.1,58
"61",1,0.000999999999990564,0.2,0
"62",2,1.349,0.2,60
"63",3,0.000999999999990564,0.2,0
"64",4,0.00100000000000477,0.2,0
"65",5,1.75,0.2,48
"66",6,2.014,0.2,56
"67",7,1.29900000000001,0.2,60
"68",8,0.00100000000000477,0.2,0
"69",9,1.25999999999999,0.2,50
"70",10,1.464,0.2,58
"71",11,0.977000000000004,0.2,48
"72",12,1.10499999999999,0.2,50
"73",13,1.08,0.2,52
"74",14,1.37,0.2,50
"75",15,1.123,0.2,48
"76",16,0.954999999999998,0.2,54
"77",17,0.000999999999990564,0.2,0
"78",18,1.05300000000001,0.2,50
"79",19,1.706,0.2,60
"80",20,0.000999999999990564,0.2,0
"81",21,1.33200000000001,0.2,66
"82",22,1.011,0.2,50
"83",23,1.09999999999999,0.2,58
"84",24,1.61199999999999,0.2,42
