"","rep","time","pi","mi"
"1",1,0.00199999999999999,0.05,0
"2",2,2.683,0.05,88
"3",3,2.535,0.05,82
"4",4,0,0.05,0
"5",5,2.539,0.05,80
"6",6,2.587,0.05,74
"7",7,2.592,0.05,90
"8",8,2.574,0.05,88
"9",9,2.59,0.05,88
"10",10,2.576,0.05,82
"11",11,0,0.05,0
"12",12,2.588,0.05,76
"13",13,2.582,0.05,88
"14",14,2.585,0.05,72
"15",15,2.58,0.05,80
"16",16,2.568,0.05,90
"17",17,2.569,0.05,88
"18",18,2.529,0.05,74
"19",19,2.551,0.05,90
"20",20,2.553,0.05,82
"21",21,2.534,0.05,90
"22",22,2.538,0.05,90
"23",23,2.541,0.05,90
"24",24,2.524,0.05,86
"25",25,2.537,0.05,76
"26",26,2.532,0.05,88
"27",27,2.51900000000001,0.05,82
"28",28,2.527,0.05,86
"29",29,2.51900000000001,0.05,90
"30",30,2.52200000000001,0.05,76
