"","rep","time","pi","mi"
"1",1,4.737,0.05,48
"2",2,4.6,0.05,54
"3",3,4.752,0.05,58
"4",4,4.588,0.05,56
"5",5,4.648,0.05,50
"6",6,4.59,0.05,48
"7",7,4.642,0.05,58
"8",8,4.712,0.05,58
"9",9,4.631,0.05,56
"10",10,4.621,0.05,52
"11",11,4.62,0.05,48
"12",12,0.383000000000003,0.05,2
"13",13,4.576,0.05,60
"14",14,4.618,0.05,56
"15",15,4.636,0.05,58
"16",16,4.616,0.05,62
"17",17,4.673,0.05,64
"18",18,4.673,0.05,54
"19",19,4.56599999999999,0.05,54
"20",20,4.684,0.05,56
"21",21,4.64800000000001,0.05,64
"22",22,4.70700000000001,0.05,46
"23",23,4.607,0.05,64
"24",24,4.687,0.05,64
"25",25,4.69799999999999,0.05,56
"26",26,4.63800000000001,0.05,52
"27",27,4.68599999999999,0.05,44
"28",28,4.636,0.05,58
"29",29,4.72800000000001,0.05,58
"30",30,4.73099999999999,0.05,44
