,replica,k,time
1,1,1000,2.489
2,2,1000,2.437
3,3,1000,2.439
4,4,1000,2.436
5,5,1000,2.424
6,6,1000,2.429
7,7,1000,2.445
8,8,1000,2.433
9,9,1000,2.44
10,10,1000,2.418
11,11,1000,2.422
12,12,1000,2.419
13,13,1000,2.423
14,14,1000,2.435
15,15,1000,2.436
16,16,1000,2.435
17,17,1000,2.421
18,18,1000,2.426
19,19,1000,2.423
20,20,1000,2.407
21,21,1000,2.418
22,22,1000,2.432
23,23,1000,2.426
24,24,1000,2.451
25,25,1000,2.431
26,26,1000,2.429
27,27,1000,2.422
28,28,1000,2.46
29,29,1000,2.436
30,30,1000,2.423
31,1,5000,3.784
32,2,5000,3.813
33,3,5000,3.773
34,4,5000,3.79
35,5,5000,3.794
36,6,5000,3.79
37,7,5000,3.789
38,8,5000,3.83
39,9,5000,3.814
40,10,5000,3.794
41,11,5000,3.825
42,12,5000,3.769
43,13,5000,3.83
44,14,5000,3.865
45,15,5000,3.756
46,16,5000,3.769
47,17,5000,3.827
48,18,5000,3.78
49,19,5000,3.81
50,20,5000,3.795
51,21,5000,3.786
52,22,5000,3.771
53,23,5000,3.804
54,24,5000,3.788
55,25,5000,3.746
56,26,5000,3.822
57,27,5000,3.773
58,28,5000,3.807
59,29,5000,3.76
60,30,5000,3.775
