,replica,k,time
1,1,1000,0.381
2,2,1000,0.348
3,3,1000,0.345
4,4,1000,0.338
5,5,1000,0.315
6,6,1000,0.33
7,7,1000,0.342
8,8,1000,0.331
9,9,1000,0.325
10,10,1000,0.328
11,11,1000,0.345
12,12,1000,0.324
13,13,1000,0.317
14,14,1000,0.338
15,15,1000,0.34
16,16,1000,0.332
17,17,1000,0.332
18,18,1000,0.346
19,19,1000,0.33
20,20,1000,0.332
21,21,1000,0.342
22,22,1000,0.32
23,23,1000,0.334
24,24,1000,0.336
25,25,1000,0.349
26,26,1000,0.329
27,27,1000,0.325
28,28,1000,0.344
29,29,1000,0.325
30,30,1000,0.314
31,1,5000,1.316
32,2,5000,1.332
33,3,5000,1.281
34,4,5000,1.314
35,5,5000,1.274
36,6,5000,1.362
37,7,5000,1.326
38,8,5000,1.292
39,9,5000,1.32
40,10,5000,1.27
41,11,5000,1.366
42,12,5000,1.301
43,13,5000,1.368
44,14,5000,1.338
45,15,5000,1.296
46,16,5000,1.336
47,17,5000,1.299
48,18,5000,1.367
49,19,5000,1.326
50,20,5000,1.332
51,21,5000,1.339
52,22,5000,1.308
53,23,5000,1.344
54,24,5000,1.274
55,25,5000,1.361
56,26,5000,1.323
57,27,5000,1.337
58,28,5000,1.339
59,29,5000,1.318
60,30,5000,1.359
61,1,10000,3.605
62,2,10000,3.62
63,3,10000,3.564
64,4,10000,3.599
65,5,10000,3.648
66,6,10000,3.661
67,7,10000,3.64
68,8,10000,3.609
69,9,10000,3.631
70,10,10000,3.625
71,11,10000,3.622
72,12,10000,3.602
73,13,10000,3.608
74,14,10000,3.607
75,15,10000,3.571
76,16,10000,3.609
77,17,10000,3.578
78,18,10000,3.666
79,19,10000,3.628
80,20,10000,3.624
81,21,10000,3.594
82,22,10000,3.61
83,23,10000,3.599
84,24,10000,3.544
85,25,10000,3.594
86,26,10000,3.644
87,27,10000,3.621
88,28,10000,3.615
89,29,10000,3.597
90,30,10000,3.629
91,1,15000,7.19
92,2,15000,7.186
93,3,15000,7.139
94,4,15000,7.101
95,5,15000,7.2
96,6,15000,7.102
97,7,15000,7.232
98,8,15000,7.143
99,9,15000,7.211
100,10,15000,7.245
101,11,15000,7.191
102,12,15000,7.135
103,13,15000,7.083
104,14,15000,7.083
105,15,15000,7.274
106,16,15000,7.183
107,17,15000,7.225
108,18,15000,7.177
109,19,15000,7.173
110,20,15000,7.317
111,21,15000,7.221
112,22,15000,7.186
113,23,15000,7.102
114,24,15000,7.166
115,25,15000,7.139
116,26,15000,7.113
117,27,15000,7.165
118,28,15000,7.158
119,29,15000,7.13
120,30,15000,7.57
121,1,20000,13.363
122,2,20000,13.121
123,3,20000,13.037
124,4,20000,13.216
125,5,20000,13.04
126,6,20000,13.11
127,7,20000,13.791
128,8,20000,14.159
129,9,20000,13.928
130,10,20000,13.511
131,11,20000,13.463
132,12,20000,13.595
133,13,20000,13.34
134,14,20000,13.257
135,15,20000,13.618
136,16,20000,14.213
137,17,20000,14.331
138,18,20000,13.829
139,19,20000,14.646
140,20,20000,13.904
141,21,20000,13.981
142,22,20000,13.858
143,23,20000,13.79
144,24,20000,13.926
145,25,20000,14.194
146,26,20000,14.078
147,27,20000,14.39
148,28,20000,14.018
149,29,20000,13.871
150,30,20000,13.897
151,1,25000,21.669
152,2,25000,21.626
153,3,25000,22.079
154,4,25000,21.687
155,5,25000,22.169
156,6,25000,21.867
157,7,25000,21.813
158,8,25000,22.363
159,9,25000,22.44
160,10,25000,22.266
161,11,25000,22.429
162,12,25000,22.439
163,13,25000,22.571
164,14,25000,22.421
165,15,25000,22.341
166,16,25000,22.495
167,17,25000,22.234
168,18,25000,22.289
169,19,25000,22.303
170,20,25000,22.395
171,21,25000,22.572
172,22,25000,22.162
173,23,25000,21.909
174,24,25000,22.023
175,25,25000,21.923
176,26,25000,21.992
177,27,25000,22.308
178,28,25000,22.072
179,29,25000,22.054
180,30,25000,21.713
181,1,50000,79.807
182,2,50000,79.147
183,3,50000,77.732
184,4,50000,78.441
185,5,50000,79.654
186,6,50000,79.634
187,7,50000,79.976
188,8,50000,79.753
189,9,50000,79.764
190,10,50000,79.664
191,11,50000,79.561
192,12,50000,79.926
193,13,50000,79.225
194,14,50000,79.955
195,15,50000,79.987
196,16,50000,79.85
197,17,50000,81.179
198,18,50000,79.732
199,19,50000,79.864
200,20,50000,79.786
201,21,50000,79.291
202,22,50000,79.402
203,23,50000,79.568
204,24,50000,80.578
205,25,50000,79.404
206,26,50000,80.464
207,27,50000,82.026
208,28,50000,80.483
209,29,50000,76.37
210,30,50000,75.327
211,1,100000,316.665
212,2,100000,322.146
213,3,100000,313.1
214,4,100000,272.389
215,5,100000,273.65
216,6,100000,274.383
217,7,100000,279.471
218,8,100000,280.132
219,9,100000,273.669
220,10,100000,270.177
221,11,100000,274.292
222,12,100000,276.498
223,13,100000,273.99
224,14,100000,274.704
225,15,100000,273.969
226,16,100000,274.247
227,17,100000,278.419
228,18,100000,298.164
229,19,100000,290.279
230,20,100000,295.535
231,21,100000,293.928
232,22,100000,292.733
233,23,100000,294.888
234,24,100000,299.445
235,25,100000,297.866
236,26,100000,302.3
237,27,100000,290.201
238,28,100000,299.769
239,29,100000,302.955
240,30,100000,301.32
